Variable 1,Variable 2,r,p-value,Significant (p<0.05)
age,sex,-0.32769862722140486,0.03899761503832627,True
age,criq,-0.18830901822170465,0.24456527473085707,False
age,apacs,-0.7100482729789244,2.878279572222926e-07,True
age,att_matr,-0.5058569594093072,0.0008686831197336607,True
age,moca,-0.28349159290371806,0.07628317966422776,False
age,n400_amp,-0.11096265000192401,0.49546322803232873,False
age,n400_lat,0.18059396587324936,0.2647828549380568,False
age,p300_amp,0.15163060788656552,0.35030267949550903,False
age,p300_lat,0.5023222042534468,0.0009569168482815385,True
sex,criq,0.3171137580189982,0.046174196985041736,True
sex,apacs,0.21174871838611917,0.18962758734305263,False
sex,att_matr,0.2413211843703935,0.13358265919518642,False
sex,moca,0.2355355144361428,0.1434414278887164,False
sex,n400_amp,0.029207373423151894,0.8580130044521453,False
sex,n400_lat,-0.046372457011057355,0.7763046662292736,False
sex,p300_amp,-0.16957286234762284,0.29553131550350253,False
sex,p300_lat,-0.37129591492026165,0.01833243880399955,True
criq,apacs,0.35673609029997017,0.023847875205959726,True
criq,att_matr,0.5036108733763326,0.0009238676796105992,True
criq,moca,0.21857207698116415,0.17542213195807613,False
criq,n400_amp,0.03544301344759995,0.8281138531763589,False
criq,n400_lat,-0.2706662992756537,0.09117025603824867,False
criq,p300_amp,-0.31375702173921055,0.04866091224574502,True
criq,p300_lat,-0.3033159685501475,0.05709257741631503,False
apacs,att_matr,0.4464564182275069,0.0038803476272463635,True
apacs,moca,0.193628521063276,0.23124744677151163,False
apacs,n400_amp,0.3450111807807595,0.029236292304899922,True
apacs,n400_lat,-0.4596246932145684,0.0028480614966270796,True
apacs,p300_amp,-0.14159527401614058,0.38346324252051417,False
apacs,p300_lat,-0.468611764659109,0.0022898944675834604,True
att_matr,moca,0.2784684926214037,0.0818689175462257,False
att_matr,n400_amp,-0.03613452235338056,0.8248120333505894,False
att_matr,n400_lat,-0.24457185102237988,0.1282691948378934,False
att_matr,p300_amp,0.33017667963182407,0.03745621950837999,True
att_matr,p300_lat,-0.4627162756001863,0.002643905867692089,True
moca,n400_amp,0.12271501997890931,0.4506299369860684,False
moca,n400_lat,-0.010489029542418808,0.948781874753659,False
moca,p300_amp,-0.1737427103182844,0.2836384645112817,False
moca,p300_lat,-0.17779871719435053,0.2723730586470292,False
n400_amp,n400_lat,-0.006009928421320895,0.9706403971100127,False
n400_amp,p300_amp,-0.13138725242585342,0.41901680435013156,False
n400_amp,p300_lat,-0.28323438029638737,0.0765617563325247,False
n400_lat,p300_amp,-0.12112915874195568,0.45654777233532884,False
n400_lat,p300_lat,0.1851858969803987,0.2526204065392658,False
p300_amp,p300_lat,-0.012792214140414,0.9375554634806053,False
