subject_id,n_times,sfreq
sub-104,1251,250.0
sub-105,1251,250.0
sub-106,1251,250.0
sub-107,1251,250.0
sub-108,1251,250.0
sub-109,1251,250.0
sub-110,1251,250.0
sub-111,1251,250.0
sub-112,1251,250.0
sub-113,1251,250.0
sub-114,1251,250.0
sub-118,1251,250.0
sub-119,1251,250.0
sub-120,1251,250.0
sub-122,1251,250.0
sub-123,1251,250.0
sub-124,1251,250.0
sub-125,1251,250.0
sub-127,1251,250.0
sub-128,1251,250.0
sub-129,1251,250.0
sub-131,1251,250.0
sub-132,1251,250.0
sub-134,1251,250.0
sub-135,1251,250.0
sub-136,1251,250.0
sub-137,1251,250.0
sub-138,1251,250.0
sub-139,1251,250.0
sub-140,1251,250.0
sub-142,1251,250.0
sub-143,1251,250.0
sub-144,1251,250.0
sub-145,1251,250.0
sub-146,1251,250.0
sub-147,1251,250.0
sub-148,1251,250.0
sub-149,1251,250.0
sub-150,1251,250.0
sub-152,1251,250.0
