subject_id,n400_amp,n400_lat,p300_amp,p300_lat
sub-001,4.781,419.0,12.491,335.6
sub-002,3.309,402.2,12.206,337.1
sub-003,2.681,414.5,13.108,340.8
sub-004,3.643,418.6,15.033,353.1
sub-005,3.676,446.9,12.663,313.6
sub-006,4.587,406.2,13.659,321.5
sub-007,4.168,438.1,8.81,382.4
sub-008,3.785,410.0,12.412,329.2
sub-009,4.671,439.0,10.982,333.5
sub-010,2.549,426.3,10.306,373.1
sub-011,2.988,427.2,10.919,398.1
sub-012,2.759,428.4,11.899,336.4
sub-013,3.188,415.7,14.149,345.0
sub-014,2.399,437.2,10.112,360.6
sub-015,4.008,420.7,12.555,378.4
sub-016,3.322,402.1,11.628,330.7
sub-017,2.323,407.8,11.91,348.3
sub-018,2.688,422.6,14.305,356.7
sub-019,3.751,453.2,13.469,361.0
sub-020,4.171,427.4,14.907,344.4
sub-021,5.097,422.2,12.222,347.0
sub-022,5.831,425.8,11.247,325.9
sub-023,3.832,450.6,12.097,352.4
sub-024,2.708,427.3,12.936,345.0
sub-025,1.794,416.8,12.818,351.5
sub-026,3.714,439.6,10.548,339.7
sub-027,2.85,433.9,12.663,359.6
sub-028,3.168,450.0,12.911,367.2
sub-029,3.01,429.7,17.031,354.3
sub-030,3.387,408.6,15.878,357.3
sub-031,4.353,415.0,10.964,361.3
sub-032,3.626,447.8,11.983,348.0
sub-033,3.373,448.4,9.866,336.7
sub-034,2.671,418.3,11.437,350.7
sub-035,2.16,422.3,13.068,351.5
sub-036,3.111,452.4,14.671,386.9
sub-037,3.457,407.9,11.188,373.1
sub-038,4.914,407.6,11.323,351.8
sub-039,3.604,430.6,8.635,334.6
sub-040,4.286,422.6,12.207,336.8
