subject_id,n400_amp,n400_lat,p300_amp,p300_lat
sub-001,4.165,404.22,13.143,352.56
sub-002,3.828,387.88,18.586,333.19
sub-003,3.135,416.21,11.31,420.96
sub-004,1.22,500.0,8.035,410.68
sub-005,5.16,418.78,13.374,368.91
sub-006,3.899,390.81,11.958,351.18
sub-007,3.959,421.16,10.877,384.38
sub-008,3.784,459.41,5.0,431.12
sub-009,3.703,399.23,10.926,362.29
sub-010,3.195,424.1,6.355,359.18
sub-011,2.696,410.65,12.216,378.68
sub-012,3.935,432.01,11.625,408.15
sub-013,2.516,405.26,14.06,428.59
sub-014,4.173,411.08,14.078,344.21
sub-015,2.681,435.83,13.932,369.53
sub-016,1.543,418.5,13.324,389.21
sub-017,4.269,370.23,11.041,366.26
sub-018,3.22,454.75,10.869,352.34
sub-019,3.828,430.52,11.977,335.09
sub-020,3.71,390.08,15.431,342.93
sub-021,2.612,436.34,10.655,419.6
sub-022,4.345,419.6,11.8,364.98
sub-023,1.495,422.17,11.265,339.84
sub-024,4.005,402.47,12.982,339.72
sub-025,3.658,432.89,17.206,312.12
sub-026,3.354,370.41,13.886,403.73
sub-027,3.91,428.11,18.398,370.36
sub-028,1.0,435.26,10.119,390.52
sub-029,3.274,458.55,14.022,404.01
sub-030,5.119,399.06,19.291,360.16
sub-031,4.442,448.02,8.053,420.42
sub-032,2.749,459.12,12.042,397.13
sub-033,4.06,447.77,8.664,358.93
sub-034,5.581,439.74,15.317,379.55
sub-035,2.968,454.89,12.372,385.98
sub-036,1.295,447.77,8.066,408.65
sub-037,3.113,413.91,7.133,372.58
sub-038,6.0,378.26,17.29,368.85
sub-039,4.655,423.9,16.968,330.6
sub-040,2.899,480.29,17.517,382.86
