subject_id,mean_power,delta_power,theta_power,alpha_power,beta_power,gamma_power
sub-001,1.2162178409500313e-13,4.287583250815025e-13,1.5137969004719983e-13,1.7402859085862017e-13,7.959289828014739e-14,6.400434975636771e-14
sub-002,4.885498436613372e-13,3.1631263281504102e-12,8.53607851887305e-13,5.894394983946795e-13,1.4694280672379696e-13,8.650976692489096e-14
sub-003,5.773054624495918e-13,3.5498002888838177e-12,7.159083327536792e-13,5.880219435291865e-13,2.2967282752114395e-13,2.3276941038411116e-13
sub-004,9.375800474157536e-13,7.717248004828001e-12,1.73913904628004e-12,5.393435630373833e-13,1.744556060994385e-13,1.2874085600102167e-13
sub-005,1.1021755365913273e-13,3.4575964223993694e-13,1.2971132729977475e-13,1.7771332565788362e-13,9.441788825546202e-14,2.5689755114244716e-14
sub-006,2.286998704437487e-13,1.0145375327130984e-12,2.5354102325977904e-13,2.863406358342292e-13,1.4219630008300367e-13,1.0506035555113004e-13
sub-007,7.101691338271167e-13,1.6907839462153305e-12,1.5442167125296977e-12,1.348720892772392e-12,3.997416762652597e-13,2.9304153933973865e-13
sub-008,8.61155989358517e-13,4.5785580832316474e-12,1.7417606694672573e-12,1.1909221118873913e-12,2.993175950205616e-13,2.0611356565108217e-13
sub-009,4.85629719548211e-13,1.0328057400792965e-12,8.518475632336461e-13,1.2006809492583438e-12,3.3755153150147445e-13,6.552536359630948e-14
sub-010,4.3444910022804585e-13,1.3637727454534483e-12,8.801259007791348e-13,7.539752705676525e-13,2.0922802370101728e-13,2.0390012831855758e-13
sub-011,6.719154522619e-13,4.153482075604835e-12,1.1530540479097689e-12,9.680582526307391e-13,1.900951315280053e-13,1.2434438671097323e-13
sub-012,3.152832293953528e-12,1.0618300416456552e-11,6.897449358317591e-12,7.781724820754021e-12,1.0293401955931234e-12,7.092889091778257e-13
sub-013,1.0596404369845618e-12,3.388212483494768e-12,4.55562400027564e-12,6.152818251368286e-13,4.5211641832106737e-13,2.638376702968497e-13
sub-014,3.3876019452329904e-13,1.2575328631371183e-12,4.733148479292346e-13,5.12513164990456e-13,2.1396649057550322e-13,1.3836523634590437e-13
sub-015,6.996556441881755e-13,1.3969706500603038e-12,1.0767768363811596e-12,2.427681657706373e-12,3.3492706311187585e-13,7.711922137913227e-14
sub-016,9.531015380986018e-13,3.279829008007699e-12,1.4356208607820765e-12,2.5045932097776365e-12,4.75211229158957e-13,9.33958651652118e-14
sub-017,7.366902043013898e-13,4.952152815449817e-12,1.7554444367404151e-12,5.379186211566239e-13,1.7541252957475363e-13,1.5173273477388812e-13
sub-018,1.4344979166481817e-12,4.782509070790216e-12,5.111020937567494e-12,1.92947528226319e-12,5.198797921013438e-13,3.0556191009704124e-13
sub-019,2.3222379000495287e-12,3.1325849544044237e-12,1.3175025354658104e-11,3.3664059846754404e-12,5.35242348133974e-13,3.2239398246497174e-13
